id,name,type,is_deceased,date_of_birth,date_of_death
m.012w4xry,Takako Ishii,people.person,false,1990-02-17,null
m.02x2z1,Stanislas de Boufflers,people.person,true,1738-05-31,1815-01-18
m.07h5s1,Harry Greenbank,people.deceased_person,true,1865-09-11,1899-02-26
m.04q4yq,Mac Raboy,people.deceased_person,true,1914-04-17,1967-12-12
m.0131_0w4,Sven Knipphals,people.person,false,1985-09-20,null
m.011lz5cv,Malin Nevander,people.person,false,1972-06-15,null
m.02x5j0d,Jack Mollenkopf,people.person,true,1905-11-24,1975-12-04
m.01mz2s4,Jimmy LaFave,people.person,false,1955-07-12,null
m.04y66b7,Pankaj Rag,people.person,false,1964-01-01,null
m.011ddbxz,Daisuke Ito,people.person,false,1974-07-25,null
m.03d3vsn,George Beresford,people.person,true,1831-04-22,1906-08-03
m.069qg5,Henry Wisner,people.deceased_person,true,1720-01-01,1790-03-04
m.05c0mc1,Ruslan Olichver,people.person,false,1969-04-11,null
m.07mmyz,Pooh Richardson,people.person,false,1966-05-14,null
m.07kb033,Wally Hunt,people.person,true,1909-01-09,1963-01-01
m.011sn3qp,Quinn Smith,people.person,false,1991-09-19,null
m.06zrlfq,Dennis Elwell,people.person,false,1945-01-01,null
m.010hfb33,Mariano Serkin,people.person,false,1975-01-01,null
m.0271pfz,Justin Brice Guariglia,people.person,false,1974-01-01,null
m.02s11v,Isaac Hayward,people.person,true,1884-11-17,1976-01-03
m.07kh6l7,Donald Ray Barnes,people.person,false,1943-12-05,null
m.05wzw1k,Nicholas Mirzoeff,people.person,false,1962-01-01,null
m.0130z1k_,Emmanouil Antoniadis,null,false,1791-01-01,null
m.07q9mt1,Zygmunt Zintel,people.deceased_person,true,1911-04-02,1990-09-30
m.03d8zhq,Wolfgang Ziffer,people.person,false,1941-10-26,null
m.04f_q7p,David Waronker,people.person,false,1961-06-05,null
m.0415pph,Charlotte Zwerin,people.deceased_person,true,1931-08-15,2004-01-22
m.03cqlg4,Aung Lwin,people.person,false,1935-10-23,null
m.0114vl4t,Giannis Charontakis,people.person,false,1995-08-07,null
m.0253dk,Chen Kaige,people.person,false,1952-08-12,null
m.04ldymt,George Jumonville,people.person,true,1917-05-17,1996-12-12
m.04r9f7,Bibi Besch,people.deceased_person,true,1940-02-01,1996-09-07
m.050yn2,Franciszek Ferdynant Lubomirski,people.person,true,1710-01-01,1774-01-29
m.01wc9xj,Vanessa,people.person,false,1978-05-22,null
m.05h3y_9,Bert Norris,people.person,true,1898-11-05,1990-06-11
m.04f6bd8,Nick Clausen,people.person,true,1900-05-23,1989-09-23
m.03x9wg,Giuliano da Sangallo,people.deceased_person,true,1443-01-01,1516-01-01
m.02vpmlq,Kristy Wallace,people.person,false,1953-02-20,null
m.01m6cm1,Pluto,people.person,false,1950-08-13,null
m.026557b,Giovanna Volpato,people.person,false,1975-08-20,null
m.03d98_l,Pat Ha,people.person,false,1965-11-21,null
m.04yhd8,William Clay Ford Junior,people.person,false,1957-05-03,null
m.011qxt0s,Eston Kohver,people.person,false,1971-01-01,null
m.0438tk,David Ferrier,people.person,true,1843-01-13,1928-03-19
m.03h0bw7,Andy Simpkins,people.person,true,1932-04-29,1999-06-02
m.027ht28,Christopher Bishop,people.person,false,1959-04-07,null
m.06sc1r7,Mike Rogodzinski,people.person,false,1948-02-22,null
m.02rdwbf,Richard Garrard,people.person,true,1911-01-21,2003-03-03
m.011dzgm_,Keith Hooker,people.person,false,1950-01-31,null
m.01w2bpt,Artis Orubs,people.person,false,1983-05-04,null
m.05q4cbz,Earl Wood,people.deceased_person,true,1913-01-01,2009-03-18
m.011q75jb,Nicola Saggio,people.deceased_person,true,1650-01-06,1709-02-03
m.03c0cnj,Hans Peter Hansen,people.deceased_person,true,1829-12-20,1899-11-18
m.05l8cs,Hocine Achiou,people.person,false,1979-04-27,null
m.06jm2w,Lev Grossman,people.person,false,1969-06-26,null
m.0278l3p,Arthur Quintal I,people.deceased_person,true,1795-05-06,1873-11-19
m.05wmbpw,Gail Small,people.person,false,1947-01-01,null
m.01067bs4,Richard Hertz,people.deceased_person,true,1898-05-23,1961-08-02
m.05wsjdj,Muncy Chapman,people.person,false,1926-01-01,null
m.03c9hw,Ran Kohen,people.person,false,1937-06-20,null
m.010lzh0t,Symenko Jochinke,people.person,false,1974-07-12,null
m.05zs8pf,Evangelos Natsis,people.deceased_person,true,1876-01-01,1904-01-01
m.011x6rwx,Temur Mustafin,people.person,false,1995-04-15,null
m.056y0k3,Oleg Bogayev,people.person,false,1970-01-01,null
m.080d883,Luis Rolando Ixquiac Xicara,people.person,false,1947-01-01,null
m.011nfjq3,Wolfram Bodag,people.person,false,1950-05-03,null
m.02rdg40,Jim Maler,people.person,false,1958-08-16,null
m.02vlnch,Frank Murrell,people.deceased_person,true,1874-01-01,1931-01-01
m.02q8440,Enrico Dante,people.deceased_person,true,1884-07-05,1967-04-24
m.05zpb7n,Odd Blomdal,people.person,false,1927-01-30,null
m.02z516p,Edmund Hockridge,people.person,true,1919-08-09,2009-03-15
m.02w3l2k,Reinhard Lauck,people.deceased_person,true,1946-09-16,1997-10-22
m.02q6r0t,Jack Korpela,people.person,false,1982-07-31,null
m.04y9g3z,Danny Marshall,people.person,false,1952-01-20,null
m.03d5mwg,Ser Petracco,people.deceased_person,true,1267-01-01,1326-01-01
m.080kg74,Michael Randle,people.person,false,1933-01-01,null
m.02qyplh,Henry Kyemba,people.person,false,1939-12-01,null
m.027091z,Gaye Porteous,people.person,false,1965-06-26,null
m.075xsn,Bianka Panova,people.person,false,1970-05-27,null
m.076vshc,Wally Sieb,people.person,false,1899-05-06,null
m.05vsc_d,Robert Gardner,people.person,false,1934-01-01,null
m.05vkf66,Marshall Wingfield,people.person,false,1893-01-01,null
m.047dhrb,Leandro Faggin,people.person,true,1933-07-18,1970-12-06
m.03wgckp,Umed Singh II,people.deceased_person,true,1873-09-15,1940-12-27
m.066lzyw,Dmitry  Maruschak,people.person,false,1980-11-13,null
m.02hh1d6,Takashi Chinen,people.person,false,1967-03-25,null
m.03mbt9b,Sandra Bartky,people.person,false,1935-05-05,null
m.058g9g4,Roy Walker,people.person,true,1931-01-01,2013-01-06
m.0131jr36,Dennis Leston,people.deceased_person,true,1917-02-17,1981-10-07
m.03ckvmd,Bernardino de Sousa Monteiro,people.person,true,1865-10-06,1930-05-12
m.080pzp_,Ken Vidler,people.person,false,1954-03-08,null
m.049cdh,Brian Maisonneuve,people.person,false,1973-06-28,null
m.04jjsr9,Joshua Aaron Weinstein,people.person,false,1976-10-28,null
m.06w73bt,Bernard Elgey Leake,people.person,false,1932-07-09,null
m.0477pz,Murray McLean,people.person,false,1949-01-01,null
m.07kdm4k,Gerson Novela,people.person,false,1979-09-12,null
m.07682f,Sage Rosenfels,people.person,false,1978-03-06,null
m.04y8scm,Glen Downey,people.person,false,1969-10-15,null
m.021j2y,Siergiej Tiulpanow,people.person,true,1901-01-01,1987-01-01
m.038g5,Gough Whitlam,people.person,true,1916-07-11,2014-10-21
m.0345v5,Frances Reid,people.person,true,1914-12-09,2010-02-03
m.010qq08p,Mirza Mahdi Ashtiani,people.person,true,1888-01-01,1952-01-01
m.01113gt2,Jonathan Collins,people.person,false,1961-03-14,null
m.02w8p8b,Ehren Wassermann,people.person,false,1980-12-06,null
m.02rcbbr,Jenny Bailey,people.person,false,1962-01-01,null
m.05hp4d,Daryl Somers,people.person,false,1951-08-06,null
m.040s_9,Kitty Harris,people.person,true,1899-05-25,1966-01-01
m.03y6g_h,John Bannerman,people.person,true,1901-09-01,1969-01-01
m.03wd5l_,Clorinda Corradi,people.person,true,1804-11-27,1877-06-29
m.012hf3zd,Myslim Peza,null,true,1897-05-01,1984-01-01
m.03c945w,Kang Soo Jin,people.person,false,1965-10-19,null
